Place,Year
Abate (Corte dell’)  a S. Gregorio.,1661
Abate (Corte dell’)  a S. Gregorio.,1667
Abate (Corte dell’)  a S. Gregorio.,1689
Abate (Corte dell’)  a S. Gregorio.,1693
Abate (Corte dell’)  a S. Gregorio.,1701
Abate (Corte dell’)  a S. Gregorio.,1703
Abate (Corte dell’)  a S. Gregorio.,1710
Abate (Corte dell’)  a S. Gregorio.,1740
"Abazia (Fondamenta, Sottoportico, Campo, Ponte, Fondamenta dell’)  a S. Maria della Misericordia.",939
"Abazia (Fondamenta, Sottoportico, Campo, Ponte, Fondamenta dell’)  a S. Maria della Misericordia.",1348
"Abazia (Fondamenta, Sottoportico, Campo, Ponte, Fondamenta dell’)  a S. Maria della Misericordia.",1369
"Abazia (Fondamenta, Sottoportico, Campo, Ponte, Fondamenta dell’)  a S. Maria della Misericordia.",1505
"Abazia (Fondamenta, Sottoportico, Campo, Ponte, Fondamenta dell’)  a S. Maria della Misericordia.",1833
Accademia (Calle della)  alla Giudecca.,1619
Accademia (Calle della)  alla Giudecca.,1627
Accademia (Calle della)  alla Giudecca.,1798
Acqua dolce (Rio dell’)  ai Ss. Apostoli.,1741
Acqua dolce (Rio dell’)  ai Ss. Apostoli.,1773
"Acquavita (Ponte, Calle dell’)  ai Gesuiti.",1601
"Acquavita (Ponte, Calle dell’)  ai Gesuiti.",1713
"Acquavita (Ponte, Calle dell’)  ai Gesuiti.",1773
"Acque (Sottoportico, Calle delle)  a S. Salvatore.",1566
"Acque (Sottoportico, Calle delle)  a S. Salvatore.",1712
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1443
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1474
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1479
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1497
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1500
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1501
Albanesi (Calle degli)  a SS. Filippo e Giacomo.,1502
